"Name","Notes","Tags","Created","Runtime","Sweep","batch_size","dropout_rate","epochs","lambda1","lambda2","learning_rate","optimizer","run_name","best_val_accuracy","best_val_rmse","epoch","epoch_best_accuracy","epoch_best_rmse","test.accuracy","test.loss_total","test.mae","test.rmse","train/loss_ce","train/loss_mse","train/loss_total","val/accuracy","val/loss_ce","val/loss_mse","val/loss_total","val/mae","val/rmse"
"dauntless-cloud-22","-","","2025-11-03T00:15:31.000Z","660","","128","0.25","10","0.5","1","0.001","Adam","L1_0.5_L2_1.0","0.8908333333333334","0.07145163327787891","9","6","7","0.8815","0.19270479698181153","0.14180435240268707","0.16783948242664337","0.3753711524627827","0.05116905824564121","0.23885463468233745","0.8761666666666666","0.32964473907152814","0.022310973813136417","0.1871333423058192","0.12428640574216844","0.14936858375554218"
"skilled-grass-21","-","","2025-11-03T00:04:30.000Z","660","","128","0.25","10","1","0.1","0.001","Adam","L1_1.0_L2_0.1","0.9005","0.11539662144111124","9","8","4","0.8891","0.2992449821472168","0.12901471555233002","0.1538570374250412","0.33676268139150406","0.06002729455740363","0.3427654106263761","0.8945","0.2807394190231959","0.019091105610132216","0.28264853115876515","0.11374706774950027","0.1381705670905791"
"helpful-frog-20","-","","2025-11-02T23:53:30.000Z","659","","128","0.25","10","1","2","0.001","Adam","L1_1.0_L2_2.0","0.885","0.07829278948275055","9","7","9","0.8871","0.3318757296562195","0.07504470646381378","0.09064904600381853","0.3778829162915548","0.06438655911330823","0.5066560364122744","0.885","0.3147133734226227","0.006129760884990295","0.32697289498647053","0.06299871951341629","0.07829278948275055"
"royal-energy-19","-","","2025-11-02T23:42:29.000Z","660","","128","0.25","10","2","1","0.001","Adam","L1_2.0_L2_1.0","0.8956666666666667","0.100363816331936","9","9","5","0.8956","0.6090590267181396","0.1413424164056778","0.16014966368675232","0.34961946623413653","0.057394622289472154","0.7566335543349937","0.8956666666666667","0.28901490636666616","0.020157400419314703","0.5981872162818909","0.12329450249671936","0.141976760138111"
"solar-deluge-18","-","","2025-11-02T23:11:02.000Z","1886","","128","0.25","10","1","1","0.001","Adam","L1_1.0_L2_1.0","0.895","0.12840166353436605","9","8","9","0.8904","0.32602956047058107","0.11097661405801772","0.14325633645057678","0.37513131631745233","0.09887385730390195","0.4740051730827049","0.8928333333333334","0.29440610675017037","0.01648698719839255","0.3108930943806966","0.09732948988676073","0.12840166353436605"
"paranormal-riddle-17","-","","2025-10-30T11:34:18.000Z","680","","128","0.25","10","0.5","1","0.001","Adam","ClsLight_L05L1_Adam_LR001","0.8918333333333334","0.11833312067608238","9","9","6","0.8926","0.17613902485370636","0.12261813879013062","0.1589365303516388","0.3948579838894032","0.10579191489131362","0.3032209063812538","0.8918333333333334","0.2979149393637975","0.020413688992460568","0.16937115907669067","0.10796216875314713","0.1428764815932299"
"haunted-ritual-16","-","","2025-10-30T11:24:39.000Z","578","","256","0.1","10","1","0.1","0.0005","AdamW","RegLight_L1L01_AdamW_LR0005","0.9021666666666668","0.07939501061945829","9","8","8","0.8972","0.27834711480140684","0.10195401310920715","0.13082759082317352","0.30985075348394886","0.026385717348919976","0.3124893255410371","0.8996666666666666","0.26927469050884245","0.013841693212588628","0.27065885825951896","0.0913315862417221","0.11765072550812691"
"arcane-possession-15","-","","2025-10-30T11:12:48.000Z","710","","128","0.25","10","1","2","0.001","Adam","RegHeavy_L1L2_Adam_LR001","0.889","0.08028203866331673","9","9","8","0.8884","0.34021673278808595","0.10534211248159409","0.13248653709888458","0.38305804064538745","0.06208331980197518","0.507224679823275","0.889","0.300790598988533","0.013683447095255055","0.32815749311447145","0.09151292592287064","0.11697626723081506"
"spectral-horseman-14","-","","2025-10-30T11:01:05.000Z","701","","64","0.5","10","2","1","0.01","SGD","ClsHeavy_L2L1_SGD_LR01","0.878","0.1656308244184912","9","8","9","0.8655","0.7635193311691284","0.15159155428409576","0.18238240480422976","0.45855480134928667","0.07208132712929337","0.98919093047248","0.8646666666666667","0.36325035174687703","0.02743356999754906","0.7539342737197876","0.13442423939704895","0.1656308244184912"
"ghastly-ripple-13","-","","2025-10-30T10:49:51.000Z","673","","128","0.25","10","1","1","0.001","Adam","Baseline_L1L1_Adam_LR001","0.8886666666666667","0.0808424862057027","9","5","1","0.8743","0.3645144939422608","0.09589522331953047","0.1199730709195137","0.3590327750753473","0.057469604630161215","0.4165023812011436","0.8723333333333333","0.3470649975935618","0.010702911558250584","0.3577679088910421","0.08101528882980347","0.10345487691863824"